study_year,acquisition_date_1,acquisition_date_2,n_days,spearman_rho
2023,2026-08-03,2026-08-12,153,0.9970972585936553
2023,2026-08-04,2026-08-05,153,0.9957661497609533
2023,2026-08-04,2026-08-06,153,0.9966631713169942
2023,2026-08-04,2026-08-07,153,0.997341751706743
2023,2026-08-04,2026-08-08,153,0.9980063287956852
2023,2026-08-04,2026-08-09,153,0.9964408457947957
2023,2026-08-04,2026-08-11,153,0.9960170492655621
2023,2026-08-04,2026-08-12,153,0.9962291016495362
2023,2026-08-05,2026-08-06,153,0.9958468572066155
2023,2026-08-05,2026-08-07,153,0.9973844128292627
2023,2026-08-05,2026-08-08,153,0.9968916567843613
2023,2026-08-05,2026-08-09,153,0.9962111087046391
2023,2026-08-05,2026-08-11,153,0.9974206015684236
2023,2026-08-05,2026-08-12,153,0.9956541200477351
2023,2026-08-06,2026-08-07,153,0.9972715236336939
2023,2026-08-06,2026-08-08,153,0.9965441783658531
2023,2026-08-06,2026-08-09,153,0.9971667616351716
2023,2026-08-06,2026-08-11,153,0.9967613758749195
2023,2026-08-06,2026-08-12,153,0.9960407936515423
2023,2026-08-07,2026-08-08,153,0.9976710996230194
2023,2026-08-07,2026-08-09,153,0.9974975948207478
2023,2026-08-07,2026-08-11,153,0.9972580876736832
2023,2026-08-07,2026-08-12,153,0.995862036641397
2023,2026-08-08,2026-08-09,153,0.997490071404364
2023,2026-08-08,2026-08-11,153,0.9973452585896783
2023,2026-08-08,2026-08-12,153,0.9960154173036514
2023,2026-08-09,2026-08-11,153,0.9967779016285424
2023,2026-08-09,2026-08-12,153,0.9955653683128964
2023,2026-08-11,2026-08-12,153,0.9962443722734953
2024,2026-08-02,2026-08-03,153,0.9963944881139851
2024,2026-08-02,2026-08-04,153,0.9962123315754046
2024,2026-08-02,2026-08-05,153,0.9956488641225515
2024,2026-08-02,2026-08-06,153,0.9961879108727787
2024,2026-08-02,2026-08-07,153,0.9958605247827842
2024,2026-08-02,2026-08-08,153,0.9958834291735327
2024,2026-08-02,2026-08-09,153,0.9965889531692231
2024,2026-08-02,2026-08-11,153,0.9970323367005582
2024,2026-08-02,2026-08-12,153,0.9959150503113211
2024,2026-08-03,2026-08-04,153,0.9959433858629768
2024,2026-08-03,2026-08-05,153,0.9940476486620929
2024,2026-08-03,2026-08-06,153,0.9959667987062908
2024,2026-08-03,2026-08-07,153,0.9957746034892836
2024,2026-08-03,2026-08-08,153,0.9953964470756697
2024,2026-08-03,2026-08-09,153,0.9954539736029353
2024,2026-08-03,2026-08-11,153,0.9970139952465513
2024,2026-08-03,2026-08-12,153,0.9959859395902511
2024,2026-08-04,2026-08-05,153,0.9961796593160495
2024,2026-08-04,2026-08-06,153,0.9937620378579796
2024,2026-08-04,2026-08-07,153,0.9954958136631815
2024,2026-08-04,2026-08-08,153,0.9963998804196137
2024,2026-08-04,2026-08-09,153,0.9957365615925265
2024,2026-08-04,2026-08-11,153,0.9952408966101604
2024,2026-08-04,2026-08-12,153,0.9959195815818662
2024,2026-08-05,2026-08-06,153,0.9950599722982033
2024,2026-08-05,2026-08-07,153,0.9940829600443479
2024,2026-08-05,2026-08-08,153,0.9945222330556814
2024,2026-08-05,2026-08-09,153,0.9959586786782709
2024,2026-08-05,2026-08-11,153,0.9949031820242887
2024,2026-08-05,2026-08-12,153,0.9935185393565344
2024,2026-08-06,2026-08-07,153,0.9963349736187147
2024,2026-08-06,2026-08-08,153,0.9944847366220846
2024,2026-08-06,2026-08-09,153,0.996064628568157
2024,2026-08-06,2026-08-11,153,0.9961077090043826
2024,2026-08-06,2026-08-12,153,0.9941574011647717
2024,2026-08-07,2026-08-08,153,0.9942807285979042
2024,2026-08-07,2026-08-09,153,0.9958874818528399
2024,2026-08-07,2026-08-11,153,0.9959616280500232
2024,2026-08-07,2026-08-12,153,0.994571838995342
2024,2026-08-08,2026-08-09,153,0.9947790859980209
2024,2026-08-08,2026-08-11,153,0.9953089781518474
2024,2026-08-08,2026-08-12,153,0.9966907648859443
2024,2026-08-09,2026-08-11,153,0.9960488033689422
2024,2026-08-09,2026-08-12,153,0.9953504103597879
2024,2026-08-11,2026-08-12,153,0.9955948981174203
2025,2026-08-02,2026-08-03,153,0.9988476290509688
2025,2026-08-02,2026-08-04,153,0.9994435445958363
2025,2026-08-02,2026-08-05,153,0.9990562805136459
2025,2026-08-02,2026-08-06,153,0.9990085993487415
2025,2026-08-02,2026-08-07,153,0.9993454378568881
2025,2026-08-02,2026-08-08,153,0.9993194947974399
2025,2026-08-02,2026-08-09,153,0.9990948696932374
2025,2026-08-02,2026-08-11,153,0.9987118886011754
2025,2026-08-02,2026-08-12,153,0.9993823156264096
2025,2026-08-03,2026-08-04,153,0.9987957609322468
2025,2026-08-03,2026-08-05,153,0.9986674193126107
2025,2026-08-03,2026-08-06,153,0.998377582648046
2025,2026-08-03,2026-08-07,153,0.999124193820783
2025,2026-08-03,2026-08-08,153,0.9986289561650119
2025,2026-08-03,2026-08-09,153,0.998642329172378
2025,2026-08-03,2026-08-11,153,0.9980615821153301
2025,2026-08-03,2026-08-12,153,0.9991929187043836
2025,2026-08-04,2026-08-05,153,0.9987513053210407
2025,2026-08-04,2026-08-06,153,0.9989910747013381
2025,2026-08-04,2026-08-07,153,0.999244087759613
2025,2026-08-04,2026-08-08,153,0.9994444075594281
2025,2026-08-04,2026-08-09,153,0.9988753786058368
2025,2026-08-04,2026-08-11,153,0.9987815410398138
2025,2026-08-04,2026-08-12,153,0.9993697952572523
2025,2026-08-05,2026-08-06,153,0.9987228080806269
2025,2026-08-05,2026-08-07,153,0.998905413902538
2025,2026-08-05,2026-08-08,153,0.9986196918781325
2025,2026-08-05,2026-08-09,153,0.999021103224891
2025,2026-08-05,2026-08-11,153,0.99806822153361
2025,2026-08-05,2026-08-12,153,0.9988383661813497
2025,2026-08-06,2026-08-07,153,0.9990354122171308
2025,2026-08-06,2026-08-08,153,0.9988108778739934
2025,2026-08-06,2026-08-09,153,0.9985234063805429
2025,2026-08-06,2026-08-11,153,0.998630696573834
2025,2026-08-06,2026-08-12,153,0.9988979743983226
2025,2026-08-07,2026-08-08,153,0.9991074608592316
2025,2026-08-07,2026-08-09,153,0.9987378397473362
2025,2026-08-07,2026-08-11,153,0.9984529176816084
2025,2026-08-07,2026-08-12,153,0.9993957222850877
2025,2026-08-08,2026-08-09,153,0.9988854039006104
2025,2026-08-08,2026-08-11,153,0.9986356909637522
2025,2026-08-08,2026-08-12,153,0.9990437693323133
2025,2026-08-09,2026-08-11,153,0.9988359494593951
2025,2026-08-09,2026-08-12,153,0.9987948317110069
2025,2026-08-11,2026-08-12,153,0.9985928782117354
0,2026-08-02,2026-08-03,765,0.9947425281546897
0,2026-08-02,2026-08-04,765,0.9952013398373882
0,2026-08-02,2026-08-05,765,0.9944310787046229
0,2026-08-02,2026-08-06,765,0.9948240358017878
0,2026-08-02,2026-08-07,765,0.996231333967972
0,2026-08-02,2026-08-08,765,0.9945133787756031
0,2026-08-02,2026-08-09,765,0.9947530491909569
0,2026-08-02,2026-08-11,765,0.9950741668072547
0,2026-08-02,2026-08-12,765,0.9930880812140854
0,2026-08-03,2026-08-04,765,0.9962354700777405
0,2026-08-03,2026-08-05,765,0.9956505514750799
0,2026-08-03,2026-08-06,765,0.9963642745858635
0,2026-08-03,2026-08-07,765,0.9957584557815974
0,2026-08-03,2026-08-08,765,0.9961905910436043
0,2026-08-03,2026-08-09,765,0.9968268869844656
0,2026-08-03,2026-08-11,765,0.9960332569644452
0,2026-08-03,2026-08-12,765,0.9952395521394617
0,2026-08-04,2026-08-05,765,0.9951353615694785
0,2026-08-04,2026-08-06,765,0.995621709462814
0,2026-08-04,2026-08-07,765,0.9959743160374196
0,2026-08-04,2026-08-08,765,0.9953141187100708
0,2026-08-04,2026-08-09,765,0.9959089105436216
0,2026-08-04,2026-08-11,765,0.9960726412206922
0,2026-08-04,2026-08-12,765,0.9941765889075153
0,2026-08-05,2026-08-06,765,0.9954911846221418
0,2026-08-05,2026-08-07,765,0.9952573539278984
0,2026-08-05,2026-08-08,765,0.9949248296864489
0,2026-08-05,2026-08-09,765,0.9962446321526859
0,2026-08-05,2026-08-11,765,0.9950613893240936
0,2026-08-05,2026-08-12,765,0.9940969405354303
0,2026-08-06,2026-08-07,765,0.9954753116117963
0,2026-08-06,2026-08-08,765,0.9950574493965041
0,2026-08-06,2026-08-09,765,0.995831063550833
0,2026-08-06,2026-08-11,765,0.9948173401787955
0,2026-08-06,2026-08-12,765,0.9939636799947252
0,2026-08-07,2026-08-08,765,0.9947082767243178
0,2026-08-07,2026-08-09,765,0.9959043171393808
0,2026-08-07,2026-08-11,765,0.9952017965992065
0,2026-08-07,2026-08-12,765,0.9939327078105314
0,2026-08-08,2026-08-09,765,0.9956704247059159
0,2026-08-08,2026-08-11,765,0.9949126910166443
0,2026-08-08,2026-08-12,765,0.9940149332656215
0,2026-08-09,2026-08-11,765,0.9954538471292314
0,2026-08-09,2026-08-12,765,0.9948433784814353
0,2026-08-11,2026-08-12,765,0.9938557055374588
